24	30	26	20	20	18	22	21	23	21	22	21	22	21	23	22	24	14	19	17	17	19	28	22	23	23	23	22	20	20	16	0	0
30	31	23	29	28	23	22	13	31	29	24	21	23	22	20	25	22	22	18	21	20	17	22	21	25	23	23	25	25	23	19	0	0
27	29	27	34	33	28	30	20	25	17	24	31	26	26	30	27	20	23	10	19	23	20	20	14	25	22	20	25	26	23	19	0	0
25	31	34	34	36	35	37	40	36	26	30	34	28	33	42	33	30	28	15	15	15	16	17	13	23	21	19	20	21	22	19	0	0
24	28	36	35	47	54	49	66	62	66	54	49	54	52	44	38	38	29	29	21	16	12	15	18	20	21	19	17	20	22	25	0	0
16	20	34	40	52	55	54	78	86	98	96	96	102	99	86	69	56	36	32	24	29	25	15	15	16	20	20	19	21	26	29	0	0
16	22	31	40	46	50	60	74	91	111	130	140	135	130	126	104	81	71	48	26	33	37	21	16	15	18	18	17	19	24	27	0	0
19	25	29	41	53	70	89	86	68	106	139	153	139	119	110	94	69	97	78	43	40	42	30	29	17	16	14	14	18	22	25	0	0
28	18	24	47	77	127	162	105	50	60	100	128	124	107	85	63	50	72	89	82	60	42	39	37	24	19	19	18	20	26	24	0	0
28	27	29	49	87	123	135	77	53	74	97	95	90	89	76	62	36	43	72	79	76	62	46	36	36	28	21	21	20	18	25	0	0
24	31	25	31	44	51	60	40	66	100	117	94	79	67	42	30	29	28	51	58	79	78	59	43	47	42	27	22	20	16	26	0	0
25	27	29	38	45	41	44	35	61	97	110	88	79	82	66	59	48	34	27	41	84	82	59	65	75	61	40	28	19	18	23	0	0
26	27	34	35	33	44	58	47	44	76	108	105	104	107	88	69	85	95	52	37	65	65	56	85	110	75	46	32	24	17	17	0	0
21	23	36	41	30	44	59	51	35	57	105	135	134	118	92	71	101	143	93	43	46	52	52	78	100	69	50	34	27	22	19	0	0
24	12	11	25	37	58	63	55	33	42	97	148	159	141	101	68	76	105	81	57	56	47	36	54	66	60	56	44	35	28	25	0	0
17	18	10	7	19	42	51	58	43	42	77	123	159	166	123	68	49	64	69	58	48	31	26	39	58	64	64	62	45	27	28	0	0
13	15	20	20	23	34	49	62	50	33	53	97	138	160	139	94	71	63	70	56	55	50	46	45	46	78	77	81	55	37	33	0	0
17	16	20	24	23	28	51	80	66	42	40	62	100	134	132	105	86	77	94	99	91	71	97	115	69	86	88	70	51	43	44	0	0
16	19	19	24	22	17	35	60	49	35	29	39	66	102	115	106	98	104	103	99	106	94	120	124	94	99	111	74	55	42	51	0	0
18	22	14	19	22	14	20	24	22	22	28	32	50	78	91	90	83	95	102	97	98	78	94	98	85	97	97	51	58	45	44	0	0
20	23	13	17	23	17	18	14	15	18	22	20	33	55	64	65	59	64	92	98	90	85	106	108	95	65	51	32	41	36	53	0	0
18	23	19	22	23	20	21	24	19	18	20	15	20	37	47	51	45	43	57	56	65	89	94	88	71	29	30	44	44	56	103	0	0
20	23	23	23	20	19	21	23	20	19	24	21	20	26	34	39	36	33	30	34	50	59	43	49	40	44	42	32	35	43	70	0	0
23	20	21	17	15	21	21	17	18	11	16	16	15	19	19	16	16	16	14	28	37	42	29	41	40	27	26	19	19	27	49	0	0
20	18	15	13	17	19	16	14	18	17	16	16	16	16	18	17	23	12	13	25	33	39	43	43	33	33	24	26	9	34	72	0	0
13	16	15	14	17	19	17	16	17	16	15	14	16	17	17	17	16	8	10	15	22	29	34	31	21	20	12	18	22	46	66	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
