23	30	26	26	27	30	36	36	38	36	38	37	34	32	27	26	31	23	24	21	20	22	28	23	22	22	22	21	20	20	17	0	0
30	32	27	36	39	37	40	33	50	49	44	42	41	36	31	34	33	32	26	29	24	21	25	23	26	24	24	26	25	23	21	0	0
33	36	37	47	50	48	53	48	52	46	53	59	52	50	51	45	34	36	23	31	31	29	25	18	28	24	22	25	26	23	21	0	0
35	43	48	51	58	63	68	73	71	64	65	70	62	64	70	60	53	48	33	32	29	28	26	19	28	25	22	21	23	21	21	0	0
40	45	57	60	77	87	86	107	105	110	95	88	93	89	80	72	67	56	55	46	37	31	29	29	28	27	24	21	21	24	24	0	0
38	44	60	69	86	93	94	123	133	145	140	137	143	139	125	108	95	72	68	56	57	50	35	32	28	30	27	24	23	27	28	0	0
40	46	61	72	81	90	102	120	140	158	174	181	172	168	167	146	127	117	92	66	69	68	47	39	33	32	28	24	24	27	28	0	0
43	49	59	75	88	110	133	132	119	156	185	194	176	157	153	143	121	151	130	93	83	82	62	56	40	34	28	24	24	24	25	0	0
48	42	51	79	109	165	204	151	101	112	146	169	161	147	132	118	112	135	150	138	112	90	79	72	53	42	38	31	28	29	25	0	0
44	47	53	77	117	159	175	123	107	129	145	139	131	134	130	124	104	113	140	141	134	115	93	78	71	56	42	38	31	25	28	0	0
35	46	46	55	71	83	99	88	122	159	168	141	123	117	106	101	102	102	123	128	144	138	112	90	87	75	54	43	33	27	32	0	0
33	40	46	60	67	70	81	81	117	154	162	134	124	132	132	132	123	111	101	115	153	146	116	115	120	100	69	51	38	32	31	0	0
32	39	49	56	53	71	94	91	98	131	154	146	143	154	150	142	161	172	129	111	136	131	117	140	159	117	82	60	45	34	29	0	0
28	32	51	60	50	66	89	90	84	105	145	168	164	157	148	139	174	220	169	118	118	120	114	137	150	114	86	66	50	40	34	0	0
34	24	28	44	55	78	88	90	75	83	127	170	180	167	145	128	147	182	157	132	128	116	101	114	118	107	94	78	60	48	42	0	0
28	31	26	25	34	60	71	84	75	75	102	143	177	189	161	119	113	135	139	128	115	97	87	98	111	112	106	99	76	51	46	0	0
25	28	32	33	34	46	64	78	69	55	75	119	162	188	171	136	124	121	131	117	113	105	101	97	96	129	126	126	92	65	51	0	0
28	28	30	34	31	36	62	91	81	58	60	86	128	163	164	141	133	128	145	153	142	122	145	163	116	135	138	117	89	71	62	0	0
24	27	25	30	29	24	45	71	63	50	48	62	93	132	147	143	142	151	150	146	151	139	162	169	138	144	156	115	87	67	66	0	0
23	27	18	24	28	21	26	34	35	39	47	54	76	107	122	125	122	139	146	143	142	121	135	138	125	139	140	89	88	68	55	0	0
22	27	16	19	25	22	25	23	29	35	40	42	58	82	92	96	97	105	135	141	131	125	144	147	134	105	92	70	71	58	64	0	0
20	25	20	22	24	22	27	31	30	33	38	36	43	60	71	79	78	81	95	97	103	127	130	124	108	67	67	77	72	77	114	0	0
19	22	24	23	23	22	27	30	29	31	37	37	37	47	55	63	64	68	65	71	85	94	75	81	72	76	74	61	59	60	77	0	0
22	22	22	18	18	24	26	23	26	20	26	29	29	33	34	35	39	44	42	59	65	70	56	68	67	54	54	43	38	38	53	0	0
22	22	19	17	21	23	20	19	25	26	26	26	26	27	28	30	40	33	35	48	57	61	64	64	54	54	43	43	22	41	72	0	0
17	20	19	18	21	23	22	22	22	23	24	23	23	24	25	27	29	25	27	35	44	51	51	48	38	37	28	32	31	50	63	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
